Text,Label
"Frecuencia cardíaca acelerada
Problemas para respirar o sensación de ahogo
Dolor o presión en el pecho
Aturdimiento o mareos
Sensación de inestabilidad, entumecimiento u hormigueo
Sudoración excesiva
Enrojecimiento o escalofríos repentinos
Malestar estomacal o diarrea
Sensación de pérdida de control
Miedo a morir
Cuándo consultar al médico
La agorafobia puede limitar en gran medida tu capacidad para socializar, trabajar, asistir a eventos importantes e, incluso, manejar detalles de tu vida diaria, como hacer los mandados.
No dejes que la agorafobia estreche los límites de tu mundo. Llama a tu médico si tienes los signos o síntomas que se mencionaron arriba.",Agorafobia
"Suspende todas las actividades y descansa
Busca un lugar más fresco
Bebe agua fresca o bebidas para deportistas
Consulta a tu médico si los signos y síntomas empeoran o si no mejoran dentro de una hora. Si estás con una persona que manifiesta signos de agotamiento por calor, busca atención médica inmediata si se confunde o se agita, pierde el conocimiento o no puede ingerir líquidos. Deberás enfriar el cuerpo de inmediato y buscar atención médica urgente si la temperatura corporal central (tomada con un termómetro rectal) alcanza los 104 °F (40 °C) o más.",Agotamiento por calor
"Hinchazón
Dolor o sensibilidad
Secreción del pezón en uno o ambos senos",Agrandamiento de los pechos en los hombres (ginecomastia)
"Dolor abdominal
Cansancio
Náuseas y vómitos
Color amarillento en la piel y la parte blanca de los ojos (ictericia)
Cuándo debes consultar a un médico
Pide una consulta con el médico si tienes síntomas que te preocupan.",Agrandamiento del hígado
La mayoría de las personas con persistencia del agujero oval no saben que la tienen porque suele ser una afección oculta que no presenta signos ni síntomas.,Agujero oval persistente
"Movimiento lateral rápido e involuntario de los ojos (nistagmo)
Movimiento de la cabeza, de rebote o inclinación, para reducir los movimientos involuntarios de los ojos y ver mejor
Incapacidad de ambos ojos de enfocarse en el mismo punto o moverse al mismo tiempo (estrabismo)
Miopía o hipermetropía extrema
Sensibilidad a la luz (fotofobia)
Curvatura anormal de la superficie frontal del ojo o de la lente interna del ojo (astigmatismo) que causa visión borrosa
Desarrollo anormal de la retina que ocasiona una visión reducida
Señales nerviosas de la retina al cerebro que no siguen los trayectos nerviosos normales (decusación anómala del nervio óptico)
Percepción pobre de la profundidad
Ceguera legal (visión de menos de 20/200) o total
Cuándo debes consultar con un médico
En el nacimiento de tu hijo, si el médico advierte una falta de pigmento en el cabello o en la piel que afecte las pestañas y las cejas, es posible que solicite un examen oftalmológico y siga de cerca cualquier cambio en la pigmentación y visión de tu hijo.
Si observas signos de albinismo en tu bebé, habla con el médico.
Comunícate con el médico si tu hijo con albinismo presenta sangrados nasales frecuentes, tiene hematomas con facilidad o infecciones crónicas. Estos signos y síntomas pueden indicar la presencia del síndrome de Hermansky-Pudlak o el síndrome de Chédiak–Higashi, que son trastornos poco comunes pero graves que incluyen albinismo.",Albinismo
"Presión arterial alta de moderada a grave, especialmente si necesitas muchos medicamentos para controlar tu presión arterial
Presión arterial alta y antecedentes familiares de hiperaldosteronismo primario
Presión arterial alta y antecedentes familiares de presión arterial alta o accidente cerebrovascular a la edad de 40 años o menos
Presión arterial alta y un bulto en una de las glándulas suprarrenales (que se determine en una prueba de imagen realizada por otra razón)
Presión arterial alta y un nivel bajo de potasio
Presión arterial alta y apnea obstructiva del sueño",Aldosteronismo primario
"Opresión de las vías respiratorias, que incluye inflamación de garganta que dificulta la respiración
Enrojecimiento facial
Picazón
Choque, por un marcado descenso de la presión arterial
Cuándo visitar al médico
Visita a tu médico o alergista si tú o tu hijo presentan síntomas de alergia a la leche poco después de haberla consumido De ser posible, visita a tu médico durante la reacción alérgica para ayudarlo a hacer un diagnóstico. Busca tratamiento de emergencia si tú o tu hijo manifiestan signos o síntomas de anafilaxia.",Alergia a la leche
"Enfermedad del suero, que puede causar fiebre, dolor articular, erupción, hinchazón y náuseas
Enfermedad del suero,
Anemia inducida por medicamentos, una reducción en los glóbulos rojos, que puede causar fatiga, latidos cardíacos irregulares, dificultad para respirar y otros signos y síntomas
Anemia inducida por medicamentos,
Reacción farmacológica con eosinofilia y síntomas sistémicos (DRESS, por sus siglas en inglés), que ocasiona erupción, conteo alto de glóbulos blancos, hinchazón general, inflamación de los ganglios linfáticos y recurrencia de la infección por hepatitis latente
Reacción farmacológica con eosinofilia y síntomas sistémicos (DRESS, por sus siglas en inglés),
Síndrome de Stevens-Johnson o necrólisis epidérmica tóxica, que implica ampollas y descamación grave de la piel
Síndrome de Stevens-Johnson o necrólisis epidérmica tóxica,
Inflamación en los riñones (nefritis), que puede causar fiebre, sangre en la orina, hinchazón general, confusión y otros signos y síntomas
Inflamación en los riñones (nefritis),
Eventos adversos que no son reacciones alérgicas
Puedes tener efectos secundarios de la penicilina (como sucede con otros medicamentos) que no sean una reacción alérgica al medicamento. Según el tipo de penicilina, los efectos secundarios más frecuentes son dolor de cabeza, picazón vaginal, náuseas o diarrea leves. Los signos o síntomas de una infección por la que te están tratando (o los síntomas no relacionados) también pueden confundirse con una reacción alérgica al medicamento.
Cuándo consultar al médico
Consulta con el médico lo antes posible si tienes signos o síntomas de alergia a la penicilina. Es importante comprender y conversar sobre qué es una reacción alérgica, qué es un efecto secundario típico y qué puedes tolerar al tomar un medicamento.
Llama al 911 o a un servicio de atención médica de urgencia si tienes signos de una reacción grave o una supuesta anafilaxia después de tomar penicilina.",Alergia a la penicilina
"Dificultad para respirar
Pulso rápido y débil
Mareos o aturdimiento
Babeo o incapacidad de tragar
Coloración roja y sensación de calor en todo el cuerpo (enrojecimiento)",Alergia a la soja
"Parches de piel rojos y elevados (urticaria)
Eccema
Picazón en la piel
Cuándo debes consultar con un médico
Algunos signos y síntomas de la alergia a las mascotas, como el moqueo o los estornudos, son similares a los del resfriado común. A veces, es difícil saber si tienes un resfrío o una alergia. Si los síntomas persisten más de dos semanas, podrías tener una alergia.
Si los signos y síntomas son intensos (con los conductos nasales completamente bloqueados y dificultad para dormir o sibilancias), llama al médico. Busca atención de emergencia si las sibilancias o la dificultad para respirar empeoran rápidamente o si tienes dificultad para respirar al realizar actividades mínimas.",Alergia a las mascotas
"Dificultad para respirar
Dolor u opresión del pecho
Pitido o sibilancia que puede oírse al exhalar
Problemas para dormir causados por falta de aire, tos o sibilancia al respirar
Episodios de tos o sibilancia al respirar que empeoran con un virus respiratorio, como un resfriado o influenza
Una alergia a los ácaros del polvo puede ser de leve a intensa. Un caso leve de alergia a los ácaros del polvo puede provocar goteo de la nariz ocasional, ojos llorosos y estornudos. En los casos intensos, la afección puede ser continua (crónica), de modo que genera estornudos constantes, tos, congestión, presión facial, un brote de eczema o un ataque intenso de asma.",Alergia a los ácaros del polvo
"Inflamación de la garganta o nudo en la garganta (constricción de la vía aérea) que dificulta la respiración.
Choque, con un fuerte descenso de la presión arterial.
Mareos, aturdimiento o pérdida del conocimiento.
Cuándo debes consultar con un médico
Busca tratamiento de emergencia si manifiestas signos o síntomas de anafilaxia.
Consulta con un médico o especialista en alergias si presentas síntomas de alergia alimentaria poco tiempo después de comer.",Alergia a los mariscos
"Constricción de las vías respiratorias, como inflamación de la garganta o un nudo en la garganta que dificulta la respiración
Dolor y cólicos abdominales
Pulso acelerado
Choque con fuerte descenso de la presión arterial, que se siente como mareos, aturdimiento o pérdida del conocimiento
Habla con el médico acerca de cualquier reacción que tú o tu hijo tengan al huevo, por más leve que sea. La gravedad de las reacciones por alergia al huevo puede variar en cada ocasión, por lo que aun cuando una reacción pasada haya sido leve, la próxima podría ser más grave.
Si el médico cree que tú o tu hijo pueden correr el riesgo de una reacción grave, puede recetarte una inyección de epinefrina de urgencia para usar en caso de que se produzca la anafilaxia. La inyección viene en un dispositivo llamado ""autoinyector"", que facilita la aplicación.
Cuándo debes consultar a un médico
Consulta con un médico si tú o tu hijo tienen signos o síntomas de una alergia alimentaria poco después de ingerir huevos o un producto que contenga huevo. De ser posible, consulta con el médico cuando la reacción alérgica está ocurriendo. Esto puede ayudar a hacer un diagnóstico.
Si tú o tu hijo tienen signos y síntomas de anafilaxia, busca tratamiento de urgencia de inmediato y, si te lo recetaron, usa el autoinyector.",Alergia al huevo
"Dificultad para respirar
Urticaria o hinchazón
Náuseas y vómitos
Sibilancia
Descenso de la presión arterial
Mareos
Pérdida del conocimiento
Desorientación
Pulso débil o rápido
Cuándo debes consultar a un médico
Busca atención médica de emergencia si tienes o crees que tienes una reacción anafiláctica.
Si tienes reacciones menos graves después de la exposición al látex, conversa con tu médico. De ser posible, consulta con el médico cuando tengas una reacción para facilitar el diagnóstico.",Alergia al látex
"Constricción de las vías respiratorias
Hinchazón de la garganta que dificulta la respiración
Un marcado descenso de la presión arterial (choque)
Pulso acelerado
Mareos, aturdimiento o pérdida del conocimiento
Cuándo debes consultar a un médico
Infórmale al médico si has presentado alguno de los signos o síntomas de la alergia al maní.
Busca tratamiento de emergencia si tienes una reacción grave al maní, especialmente, si tienes signos o síntomas de anafilaxia. Llama al 911 o al número local de emergencias si tú o alguien más presentan mareos intensos, mucha dificultad para respirar o pérdida del conocimiento.",Alergia al maní
"Aumento del enrojecimiento
Sensación de calor
Pus en el área afectada
Dolor",Alergia al níquel
"Enrojecimiento
Picazón o dolor
Pequeños bultos que pueden convertirse en manchas elevadas
Descamación, costras o sangrado
Ampollas o ronchas
Por lo general, los signos y síntomas se presentan únicamente en la piel que ha estado expuesta al sol y suelen manifestarse a los pocos minutos o a las horas después de la exposición solar.
Cuándo debes consultar con un médico
Consulta con el médico si tienes reacciones cutáneas inusuales y molestas luego de la exposición a la luz solar. En el caso de síntomas graves o persistentes, es posible que debas consultar con un médico que se especialice en diagnosticar y tratar trastornos de la piel (dermatólogo).",Alergia al sol
"hinchazón u opresión en la garganta;
dolor u opresión en el pecho;
dificultad para respirar severa;
problemas para tragar;
color azul pálido en la piel;
mareos o desmayos.
Cuándo debes consultar con un médico
Si crees que alguien presenta signos de anafilaxia, llama al 911 o al número de emergencia local. La anafilaxia es una emergencia médica que requiere atención inmediata.
Si crees que tú o tu hijo presentan alergia al trigo o a otro alimento, consulta con el médico.",Alergia al trigo
"Opresión de las vías respiratorias que dificulta la respiración
Choque con descenso grave de la presión arterial
Pulso acelerado
Mareos o aturdimiento",Alergia alimentaria
"Pérdida del conocimiento
Caída de la presión arterial
Grave dificultad para respirar
Erupción cutánea
Aturdimiento
Pulso rápido y débil
Náuseas y vómitos
Cuándo consultar al médico
Podrías consultar con un médico si tienes síntomas que crees que son a causa de una alergia y los medicamentos de venta libre para la alergia no brindan alivio suficiente. Si tienes síntomas después de comenzar a tomar un medicamento nuevo, llama de inmediato al médico que te lo recetó.
En el caso de una reacción alérgica grave (anafilaxia), llama al 911 o al número local de emergencias o busca ayuda de emergencia médica. Si llevas contigo epinefrina autoinyectable (Auvi-Q, EpiPen u otros), inyéctate de inmediato.
Incluso si tus síntomas mejoran después de una inyección de epinefrina, debes ir al departamento de emergencia para asegurarte de que los síntomas no regresen cuando se pasen los efectos de la inyección.
Si anteriormente has tenido un ataque alérgico grave o cualquier signo o síntoma de anafilaxia, pide una consulta para ver a tu médico. La evaluación, el diagnóstico y el control de la anafilaxia son complicados, por lo que seguramente deberás ver a un médico especialista en alergias e inmunología.",Alergias
"Enfermedad del suero, que puede causar fiebre, dolor articular, erupción, hinchazón y náuseas
Enfermedad del suero,
Anemia inducida por los medicamentos, reducción de los glóbulos rojos que puede causar fatiga, latidos irregulares del corazón, falta de aire y otros síntomas
Anemia inducida por los medicamentos,
Erupción por medicamentos con eosinofilia y síntomas sistémicos, que produce erupción cutánea, recuento alto de glóbulos blancos, hinchazón generalizada, inflamación de los ganglios linfáticos y recurrencia de la infección por hepatitis latente
Erupción por medicamentos con eosinofilia y síntomas sistémicos,
Inflamación de los riñones (nefritis), que puede provocar fiebre, sangre en la orina, hinchazón generalizada, confusión y otros síntomas
Inflamación de los riñones (nefritis),
Cuándo debes consultar a un médico
Si tienes signos de reacciones graves o una supuesta anafilaxia después de tomar un medicamento, llama al 911 o a un servicio de emergencias médicas.
Si tienes síntomas leves de alergia a los medicamentos, consulta con tu médico tan pronto como sea posible.",Alergias a los medicamentos
"Dolor intenso unos días después de una extracción dental
Pérdida parcial o total del coágulo sanguíneo en el lugar de la extracción dental, que lo podrás notar como una cavidad de aspecto vacío (seca)
Hueso visible en la cavidad
Dolor que se extiende desde la cavidad hasta los oídos, los ojos, la sien o el cuello, del mismo lado del rostro donde se produjo la extracción
Mal aliento u olor desagradable proveniente de la boca
Sabor desagradable en la boca
Cuándo consultar al médico
Es normal sentir cierto grado de dolor y de malestar después de una extracción dental. Sin embargo, tienes que poder controlar el dolor normal con el analgésico recetado por el dentista o por el cirujano dental, y así debería disminuir con el tiempo.
Si tienes otro dolor o este empeora en los días posteriores a la extracción dental, comunícate de inmediato con el dentista o con el cirujano dental.",Alveolitis seca
"Un ojo que se mueve hacia adentro o afuera
Ojos que parecen no funcionar juntos
Percepción mala de la profundidad
Entrecerrar los ojos
Inclinar la cabeza
Resultados anormales de las pruebas de detección de la visión
Algunas veces, el ojo perezoso no es evidente sin un examen de la vista.
Cuándo debes consultar con un médico
Consulta con el médico de tu hijo si notas que sus ojos deambulan después de las primeras semanas de vida. Una revisión de la visión es especialmente importante si hay antecedentes familiares de estrabismo, cataratas infantiles u otras afecciones oculares.
Para todos los niños, se recomienda un examen ocular completo entre los 3 y los 5 años de edad.",Ambliopía (ojo perezoso)
"Los signos y los síntomas del ameloblastoma incluyen dolor e hinchazón en la mandíbula. A menudo, no causa síntomas.",Ameloblastoma
"Secreción de leche por el pezón
Pérdida del cabello
Dolor de cabeza
Cambios en la visión
Exceso de vello facial
Dolor pélvico
Acné
Cuándo debes consultar a un médico
Consulta con tu médico si no has tenido al menos tres períodos menstruales consecutivos o si nunca tuviste un período menstrual y eres mayor de 15 años.",Amenorrea
"Dificultad para respirar
Dificultad extrema al tragar
Babeo excesivo",Amigdalitis
"Dolor de garganta acompañado de ganglios linfáticos inflamados y sensibles
Un dolor de garganta que dura más de 48 horas
Fiebre
Un dolor de garganta acompañado de un sarpullido
Problemas para respirar o tragar
Con un diagnóstico de estreptococo, falta de mejoría después de tomar antibióticos durante 48 horas",Amigdalitis estreptocócica
"Hinchazón de los tobillos y las piernas
Fatiga y debilidad intensas
Falta de aire con un mínimo esfuerzo
Incapacidad de acostarse en la cama debido a la falta de aire
Entumecimiento, hormigueo o dolor en las manos o los pies, en especial, dolor en la muñeca (síndrome del túnel carpiano)
Diarrea, posiblemente con sangre, o estreñimiento
Pérdida de peso involuntaria de más de 10 libras (4,5 kilogramos)
Una lengua agrandada, que a veces parece ondulada alrededor de su borde
Cambios en la piel, como engrosamiento o moretones que aparecen con facilidad, y manchas purpúreas alrededor de los ojos
Latidos del corazón irregulares
Dificultad para tragar
Cuándo debes consultar a un médico
Consulta con tu médico si persiste alguno de los signos o síntomas asociados a la amiloidosis.",Amiloidosis
"Recuerdos falsos (confabulación), ya sea completamente inventados o compuestos de recuerdos genuinos fuera de lugar en el tiempo
Confusión o desorientación
Cuándo debes consultar a un médico
Una persona que experimenta pérdida de memoria, lesiones en la cabeza, confusión o desorientación sin causa aparente, requiere atención médica de inmediato.
Es posible que una persona con amnesia no pueda identificar su ubicación ni tenga la entereza para buscar atención médica. Si alguien que conoces tiene síntomas de amnesia, ayúdalo a buscar atención médica.",Amnesia
"Duración de no más de 24 horas y por lo general menos
Regreso gradual de la memoria
Ausencia de lesión en la cabeza reciente
Ausencia de evidencia de convulsiones durante el período de amnesia
Ausencia de historia clínica de epilepsia activa
Junto con estos signos y síntomas, una característica común de la amnesia total transitoria incluye la repetición de preguntas, por lo general la misma pregunta; por ejemplo, “¿qué hago aquí?” o “¿cómo llegué hasta aquí?”
Cuándo debes consultar con un médico
Busca atención médica de inmediato si una persona pasa de un estado de conciencia normal sobre la realidad presente a un estado de confusión sobre lo que acaba de ocurrir. Si la persona que experimentó la pérdida de memoria se encuentra demasiado confundida para llamar a una ambulancia, llama tú.
Si bien la amnesia global transitoria no es perjudicial, no es fácil distinguirla de enfermedades potencialmente mortales que también causan una pérdida de memoria repentina.",Amnesia global transitoria
"Reacciones cutáneas como urticaria, picazón y palidez o enrojecimiento de la piel, entre otras
Presión arterial baja (hipotensión)
Constricción de las vías respiratorias e inflamación de la lengua o de la garganta, que pueden causar sibilancia o dificultad para respirar
Pulso débil y acelerado
Náuseas, vómitos o diarrea
Mareos o desmayos
Cuándo consultar al médico
Busca asistencia médica de urgencia si tú, tu hijo u otra persona con la que estás tiene una reacción alérgica grave. No esperes a ver si los síntomas desaparecen.
Si la persona que tiene el ataque lleva un autoinyector de epinefrina, adminístralo de inmediato. Incluso si los síntomas mejoran después de la inyección, todavía necesitas ir a la sala de emergencias para asegurarte de que los síntomas no se repitan, incluso sin más exposición al alérgeno. Esta segunda reacción se llama anafilaxia bifásica.
Solicita una consulta con el médico si tú o tu hijo han tenido un ataque de alergia grave o signos y síntomas de anafilaxia en el pasado.
El diagnóstico y el tratamiento a largo plazo de la anafilaxia son complicados, por lo que probablemente necesites ver a un médico que se especialice en alergia e inmunología.",Anafilaxia
"Fatiga
Debilidad
Piel pálida o amarillenta
Latidos del corazón irregulares
Dificultad para respirar
Mareos o aturdimiento
Dolor en el pecho
Manos y pies fríos
Dolores de cabeza
Al principio, la anemia puede ser tan leve que no se nota. Pero los síntomas empeoran a medida que empeora la anemia.
Cuándo debes consultar con un médico
Solicita una consulta con el médico si te sientes fatigado y no sabes por qué.
La fatiga tiene muchas causas además de la anemia, así que no asumas que si estás cansado debes estar anémico. Algunas personas se enteran de que su hemoglobina es baja, lo que indica anemia, cuando donan sangre. Si te informan que no puedes donar sangre porque tienes un nivel de hemoglobina bajo, pide una consulta con el médico.",Anemia
"Fatiga
Falta de aire
Frecuencia cardiaca rápida o irregular
Piel pálida
Infecciones frecuentes o prolongadas
Hematomas sin causa aparente o que aparecen con facilidad
Sangrados nasales o de encías
Sangrado prolongado por cortes
Erupción cutánea
Mareos
Dolor de cabeza
Fiebre
La anemia aplásica puede durar poco o volverse crónica. Puede ser grave e incluso mortal.",Anemia aplásica
"Fiebre. Las personas con anemia de células falciformes tienen un mayor riesgo de infección grave, y la fiebre puede ser el primer signo de una infección.
Fiebre.
Episodios de dolor intenso sin causa aparente, como dolor en el abdomen, el pecho, los huesos o las articulaciones.
Episodios de dolor intenso sin causa aparente,
Hinchazón en las manos o los pies.
Hinchazón en las manos o los pies.
Hinchazón abdominal, especialmente si la zona es sensible al tacto.
Hinchazón abdominal,
Piel pálida o lechos ungueales.
Piel pálida o lechos ungueales.
Color amarillento de la piel o en la parte blanca de los ojos.
Color amarillento
Signos o síntomas de un accidente cerebrovascular. Si notas parálisis unilateral o debilidad en la cara, los brazos o las piernas; confusión; problemas para caminar o hablar; cambios repentinos en la visión o entumecimiento inexplicable; o un fuerte dolor de cabeza, llama inmediatamente al 911 o al número de emergencias local.
Signos o síntomas de un accidente cerebrovascular.",Anemia de células falciformes
