enfermedad,sintomas
Alergias a los medicamentos,"A menudo, los síntomas de una alergia grave a los medicamentos pueden ocurrir dentro de la hora después de haber tomado el fármaco. Otras reacciones, en particular los sarpullidos, pueden ocurrir horas, días o semanas más tarde.
Es posible que los síntomas de la alergia a los medicamentos incluyan los siguientes:
Sarpullido en la piel
Urticaria
Comezón
Fiebre
Hinchazón
Falta de aire
Silbido del pecho
Goteo de la nariz
Ojos llorosos y con picazón
Anafilaxia
La anafilaxia es una reacción poco frecuente de alergia a los medicamentos que pone en riesgo la vida y que causa una disfunción generalizada de los sistemas del cuerpo. Los síntomas de la anafilaxia incluyen los siguientes:
Estrechamiento de las vías respiratorias y de la garganta, lo que genera dificultad para respirar
Náuseas o calambres abdominales
Vómitos o diarrea
Mareos o aturdimiento
Pulso débil y rápido
Descenso de la presión arterial
Convulsiones
Pérdida del conocimiento
Otras enfermedades causadas por la alergia a los medicamentos
Las reacciones menos comunes de alergia a los medicamentos ocurren días o semanas después de la exposición al medicamento y pueden persistir durante un tiempo después de haber dejado de tomarlo. Estas afecciones incluyen las siguientes:
Enfermedad del suero, que puede causar fiebre, dolor articular, erupción, hinchazón y náuseas
Anemia inducida por los medicamentos, reducción de los glóbulos rojos que puede causar fatiga, latidos irregulares del corazón, falta de aire y otros síntomas
Erupción por medicamentos con eosinofilia y síntomas sistémicos, que produce erupción, recuento alto de glóbulos blancos, hinchazón generalizada, inflamación de los ganglios linfáticos y recurrencia de la infección por hepatitis latente
Inflamación de los riñones (también llamada nefritis), que puede provocar fiebre, sangre en la orina, hinchazón generalizada, confusión y otros síntomas
Cuándo debes consultar a un médico
Si después de tomar un medicamento tienes signos de una reacción grave o sospechas que vas a presentar una anafilaxia, llama al 911 o a un servicio de emergencias médicas.
Si tienes síntomas leves de alergia a un fármaco, consulta con tu proveedor de atención médica tan pronto como sea posible.
Más información
Alergia a la aspirina
Solicite una consulta

Causas
Una alergia a un medicamento ocurre cuando el sistema inmunitario identifica erróneamente a un medicamento como una sustancia dañina, como un virus o una bacteria. Una vez que el sistema inmunitario detecta un medicamento como una sustancia dañina, desarrolla un anticuerpo específico para ese medicamento. Esto puede suceder la primera vez que tomas un medicamento, pero a veces no se desarrolla una alergia hasta que ha habido exposiciones repetidas.
La próxima vez que tomes el medicamento, esos anticuerpos específicos lo marcan y le indican al sistema inmunitario que ataque la sustancia. Las sustancias químicas que se liberan en esa actividad causan los síntomas asociados a una reacción alérgica.
Sin embargo, es posible que no te des cuenta de la primera exposición al medicamento. Hay evidencia que indica que cantidades mínimas del medicamento en los alimentos, como los antibióticos, pueden ser suficientes para que el sistema inmunitario genere un anticuerpo contra este.
Algunas reacciones alérgicas pueden ser consecuencia de un proceso un tanto diferente. Los investigadores creen que algunos medicamentos pueden unirse directamente a ciertos tipos de glóbulos blancos del sistema inmunitario (células T). Esto hace que se liberen sustancias químicas que pueden provocar una reacción alérgica la primera vez que tomas el medicamento.
Medicamentos que normalmente están asociados a alergias
Si bien cualquier medicamento puede causar una reacción alérgica, algunos están más relacionados con las alergias. Algunos de ellos son los siguientes:
Antibióticos, como la penicilina
Medicamentos para aliviar el dolor, como la aspirina, el ibuprofeno (Advil, Motrin IB u otros) y el naproxeno sódico (Aleve)
Medicamentos de quimioterapia para el tratamiento del cáncer
Medicamentos para enfermedades autoinmunitarias, como la artritis reumatoide
Reacciones no alérgicas a los medicamentos
A veces, la reacción a un fármaco puede producir síntomas que son prácticamente iguales a los de la alergia a un fármaco. Sin embargo, una reacción a un fármaco no se desencadena por la actividad del sistema inmunitario. Esto se denomina reacción de hipersensibilidad no alérgica o reacción seudoalérgica a los medicamentos.
Los medicamentos más comúnmente asociados a esta reacción son los siguientes:
Aspirina
Tintes usados en las pruebas por imágenes (medios de contraste)
Opiáceos para tratar el dolor
Anestésicos locales
Más información
Alergia a sulfamidas
Factores de riesgo
Si bien cualquiera puede tener una reacción alérgica a un medicamento, hay algunos factores que pueden aumentar el riesgo. Entre estos se incluyen los siguientes:
Antecedentes de otras alergias, como alergia alimentaria o fiebre del heno
Antecedentes personales o familiares de alergia a medicamentos
Mayor exposición a un medicamento, debido a dosis altas, uso reiterado o prolongado
Ciertas enfermedades comúnmente asociadas con las reacciones alérgicas a los medicamentos, como la infección por el virus de la inmunodeficiencia humana(VIH) o el virus de Epstein-Barr
Prevención
Si tienes alergia a un fármaco, la mejor prevención es dejar de tomar el fármaco problemático. Los pasos que puedes poner en práctica para protegerte incluyen los siguientes:
Informa al personal de la salud. Asegúrate de que tu alergia al fármaco se identifique con claridad en tu expediente médico. Informa a otros proveedores de atención médica, como tu dentista u otro especialista médico.
Usa un brazalete. Usa un brazalete de alerta médica que identifique tu alergia a los medicamentos. Esta información puede asegurar un tratamiento correcto en caso de emergencia.



Escrito por el personal de Mayo Clinic
"
Aleteo auricular,
Alveolitis seca,"Los síntomas de la alveolitis seca pueden comprender lo siguiente:
Dolor intenso unos días después de una extracción dental.
Pérdida parcial o total del coágulo sanguíneo en el lugar de la extracción de la pieza dental. El alvéolo dental puede parecer vacío.
Hueso expuesto en el alvéolo dental.
Dolor que se extiende desde el alvéolo hasta los oídos, los ojos, la sien o el cuello del mismo lado del rostro donde se produjo la extracción de la pieza dental.
Mal aliento u olor desagradable proveniente de la boca.
Sabor desagradable en la boca.
Cuándo debes consultar a un médico
Después de la extracción de una pieza dental es normal sentir algo de dolor y molestias. Sin embargo, tienes que poder controlar el dolor con el analgésico que el dentista o el cirujano dental te recetaron. El dolor debería disminuir con el tiempo.
Si tienes otro dolor o este empeora en los días posteriores a la extracción de una pieza dental, comunícate de inmediato con el dentista o con el cirujano dental.
Solicite una consulta

Causas
La causa exacta de la alveolitis seca se sigue estudiando. Los investigadores creen que puede estar relacionada con ciertos problemas, como los siguientes:
El ingreso de bacterias en el alvéolo dental.
Una lesión en el sitio de la cirugía, cuando la extracción de la pieza dental fue difícil. Esto puede ocurrir cuando la muela de juicio se desarrolla de manera inusual o está en una posición irregular, lo que se conoce como muela del juicio retenida.
Factores de riesgo
Entre los factores que pueden aumentar el riesgo de desarrollar alveolitis seca se incluyen los siguientes:
Fumar y consumir tabaco. Las sustancias químicas de los cigarrillos u otras formas de tabaco pueden impedir o retrasar la cicatrización. Estas sustancias químicas pueden entrar en el lugar de la herida. Además, la acción de aspirar el humo de un cigarrillo puede hacer que el coágulo de sangre salga demasiado pronto.
Píldoras anticonceptivas. Los altos niveles de estrógeno de las píldoras anticonceptivas pueden causar problemas de cicatrización y aumentar el riesgo de desarrollar alveolitis seca.
Cuidados inadecuados en casa. No cumplir con las instrucciones del cuidado en casa y tener mal cuidado bucal puede aumentar el riesgo de desarrollar alveolitis seca.
Infección de los dientes o las encías. Las infecciones alrededor del área donde se extrajo el diente, sean actuales o previas, aumentan el riesgo de desarrollar alveolitis seca.
Complicaciones
Si bien la alveolitis seca puede ser dolorosa, es raro que provoque una infección o complicaciones graves. Sin embargo, puede retrasar la cicatrización en el alvéolo dental. El dolor puede durar más de lo habitual después de la extracción de pieza dental. La alveolitis seca también puede derivar en una infección en el alvéolo dental.
Prevención
Lo que puedes hacer antes de la cirugía
Puedes tomar estas medidas para ayudar a prevenir la alveolitis seca:
Busca un dentista o cirujano dental con experiencia en extracciones dentales.
Practica un buen cuidado bucal cepillándote los dientes dos veces al día y usando hilo dental una vez al día. Un buen cuidado bucal antes de la cirugía mantiene limpios los dientes y las encías y elimina las bacterias.
Si fumas o consumes otros productos que contienen tabaco, intenta dejar de hacerlo antes de que te extraigan el diente. Fumar y consumir otros productos de tabaco aumenta el riesgo de alveolitis seca. Consulta con tu médico u otro profesional de la salud sobre un programa que te ayude a dejar de fumar para siempre.
Habla con el dentista o el cirujano dental sobre los medicamentos que te han recetado, los que puedes comprar sin receta médica, las plantas medicinales u otros suplementos que estés tomando. Algunos pueden causar problemas de coagulación de la sangre.
Qué puede hacer el dentista o el cirujano dental
El dentista o cirujano dental puede tomar medidas para facilitar la cicatrización adecuada del alvéolo dental y prevenir la alveolitis seca. Una de estas medidas es recomendarte uno o más medicamentos, que pueden ayudar a prevenir la alveolitis seca y las infecciones:
Vendaje con medicamentos que debes colocar sobre la herida después de la cirugía.
Enjuagues bucales o geles antibióticos inmediatamente antes y después de la cirugía.
Soluciones antisépticas para colocar en la herida.
Antibióticos orales, por lo general, solo si tienes el sistema inmunitario debilitado.
Lo que puedes hacer después de la cirugía
El dentista o el cirujano dental pueden darte instrucciones sobre qué esperar durante el proceso de cicatrización después de la extracción de una pieza dental y sobre cómo cuidar el área. Los cuidados en casa correctos después de una extracción de una pieza dental ayudan con la cicatrización y previenen el daño a la herida. Para ayudar a prevenir la alveolitis seca, es probable que las instrucciones incluyan lo siguiente:
Actividad. Después de la cirugía, tu plan es descansar el resto del día. Sigue las instrucciones de tu dentista o de tu cirujano dental sobre cuándo puedes retomar tus actividades habituales. También sigue las instrucciones sobre cuánto tiempo evitar el ejercicio intenso y los deportes que puedan hacer que el coágulo sanguíneo salga del alvéolo dental.
Control del dolor. Coloca compresas frías por fuera de la cara el primer día después de la extracción de una pieza dental. Después del primer día, las compresas calientes podrían ayudar. Las compresas frías y calientes pueden ayudar a reducir el dolor y la hinchazón. Sigue las instrucciones de tu dentista o de tu cirujano dental sobre colocar frío o calor en la cara. Toma los medicamentos para el dolor según lo prescripto.
Bebidas. Bebe mucha agua después de la cirugía. Evita bebidas alcohólicas, con cafeína, carbonatadas o calientes durante el tiempo que se recomiende. No bebas con pajilla durante al menos una semana. La acción de succionar puede sacar el coágulo sanguíneo del alvéolo dental.
Alimentos. El primer día, come solo alimentos blandos, como yogur o compota de manzana. Ten cuidado con los líquidos calientes y fríos o con morderte la mejilla hasta que el entumecimiento desaparezca. Cuando te sientas listo, empieza a comer alimentos que no necesiten masticarse mucho. Evita masticar del lado de la boca donde fue la cirugía.
Limpieza de la boca. Después de la cirugía, puedes enjuagarte suavemente la boca y cepillarte los dientes, pero evita el área de la extracción durante las primeras 24 horas. Después de las primeras 24 horas, enjuaga suavemente la boca con agua salada tibia varias veces al día durante una semana luego de la cirugía. Mezcla 1/2 cucharadita (2,5 mililitros) de sal de mesa en 8 onzas (237 mililitros) de agua. Sigue las instrucciones del dentista o del cirujano dental.
Consumo de tabaco. Si fumas o consumes tabaco, no lo hagas durante al menos 48 horas después de la cirugía y durante el mayor tiempo posible de allí en adelante. Consumir productos con tabaco después de la cirugía oral puede retrasar la cicatrización y aumentar el riesgo de complicaciones.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Ambliopía (ojo perezoso),
Ameloblastoma,"El ameloblastoma no suele presentar síntomas, pero los signos y síntomas pueden incluir dolor y un bulto o hinchazón en la mandíbula.
Si no se trata, el tumor puede aumentar mucho de tamaño, lo que deforma la parte inferior de la cara y del hueso maxilar inferior y cambia la posición de los dientes.
Cuándo debes consultar con un médico
Habla con el dentista o el proveedor de atención médica si tienes hinchazón o dolor en la mandíbula o si tienes alguna otra preocupación sobre la salud bucal.



Causas
El ameloblastoma comienza en las células que forman el revestimiento del esmalte protector de los dientes. En raras ocasiones, puede comenzar en el tejido gingival. No está clara la causa exacta del tumor, pero varios cambios genéticos (mutaciones) pueden estar implicados en el desarrollo del ameloblastoma. Estos cambios pueden repercutir en la ubicación del tumor, el tipo de células implicadas y la rapidez de desarrollo del tumor.
Los ameloblastomas generalmente se clasifican según el tipo, pero también se los puede clasificar según el tipo de célula. Los cuatro tipos principales incluyen los siguientes:
Ameloblastoma convencional. Este es el tipo más común y se desarrolla de forma agresiva, generalmente en el hueso maxilar inferior, y aproximadamente el 10 % reaparece después del tratamiento.
Ameloblastoma uniquístico. Este tipo es menos agresivo, pero generalmente ocurre a una edad más temprana. El tumor suele estar en la parte trasera del hueso maxilar inferior en los molares. La recurrencia es posible después del tratamiento.
Ameloblastoma periférico. Este tipo es poco frecuente y afecta las encías y el tejido bucal en el hueso maxilar superior o inferior. El tumor tiene un riesgo bajo de recurrencia después del tratamiento.
Ameloblastoma metastatizante. Este tipo es muy poco frecuente y consiste en células tumorales que se producen lejos del sitio primario en el hueso maxilar.
Complicaciones
En raras ocasiones, el ameloblastoma puede volverse canceroso (maligno). Muy pocas veces, las células del ameloblastoma pueden diseminarse (hacer metástasis) hacia otras partes del cuerpo, como los ganglios linfáticos en el cuello y los pulmones.
El ameloblastoma puede volver a aparecer después del tratamiento.
Escrito por el personal de Mayo Clinic
"
Amenorrea,"Según la causa de la amenorrea, podrías experimentar otros signos y síntomas junto con la ausencia de períodos menstruales, como los siguientes:
Secreción de leche por el pezón
Pérdida del cabello
Dolor de cabeza
Cambios en la visión
Exceso de vello facial
Dolor pélvico
Acné
Cuándo debes consultar a un médico
Consulta con tu médico si no has tenido al menos tres períodos menstruales consecutivos o si nunca tuviste un período menstrual y eres mayor de 15 años.
Solicite una consulta

Causas
Aparato reproductor femenino
Agrandar la imagen
La amenorrea puede producirse por diversas razones. Algunas son normales, mientras que otras pueden ser un efecto secundario de un medicamento o un signo de un problema médico.
Amenorrea natural
Durante el transcurso normal de la vida, es posible que tengas amenorreas por razones naturales, tales como:
Embarazo
Lactancia
Menopausia
Anticonceptivos
Algunas mujeres que toman píldoras anticonceptivas (anticonceptivos orales) pueden no tener períodos menstruales. Incluso luego de dejar de tomar píldoras anticonceptivas orales, puede pasar un tiempo antes de que la ovulación y la menstruación se regularicen. Los anticonceptivos que se inyectan o implantan y algunos tipos de dispositivos intrauterinos también pueden causar amenorrea.
Medicamentos
Determinados medicamentos pueden hacer que los períodos menstruales se detengan; entre ellos, se cuentan algunos tipos de:
Antipsicóticos
Quimioterapia para el tratamiento del cáncer
Antidepresivos
Medicamentos para la presión arterial
Antialérgicos
Factores relacionados con el estilo de vida
A veces, los factores relacionados con el estilo de vida contribuyen a la amenorrea, por ejemplo:
Peso corporal bajo. El peso corporal excesivamente bajo (de alrededor del 10 por ciento por debajo del peso normal) interrumpe muchas funciones hormonales del cuerpo, lo que puede hacer que la ovulación se detenga. Las mujeres que sufren un trastorno de la alimentación, como anorexia o bulimia, generalmente dejan de menstruar debido a estos cambios anormales de hormonas.
Exceso de ejercicio. A las mujeres que participan en actividades que implican un entrenamiento riguroso, como el ballet, se les puede interrumpir el ciclo menstrual. Diversos factores, como el estrés, un nivel bajo de grasa corporal y un gasto energético alto se combinan para contribuir a la ausencia de menstruación en las deportistas.
Estrés. El estrés mental puede alterar temporalmente el funcionamiento del hipotálamo, una parte del cerebro que controla las hormonas que regulan el ciclo menstrual. En consecuencia, la ovulación y la menstruación pueden suspenderse. Los períodos menstruales regulares generalmente vuelven cuando disminuye el estrés.
Desequilibrio hormonal
Muchos tipos de problemas médicos pueden causar un desequilibrio hormonal, entre ellos:
Síndrome de ovario poliquístico. El síndrome de ovario poliquístico produce niveles de hormonas relativamente altos y sostenidos, a diferencia de los niveles fluctuantes de un ciclo menstrual normal.
Insuficiencia tiroidea. Una glándula tiroides hiperactiva (hipertiroidismo) o hipoactiva (hipotiroidismo) puede causar irregularidades menstruales como la amenorrea.
Tumor pituitario. Un tumor no canceroso (benigno) en la glándula pituitaria puede interferir en la regulación hormonal de la menstruación.
Menopausia prematura. La menopausia generalmente empieza alrededor de los 50 años. Sin embargo, en algunas mujeres, el suministro ovárico de óvulos disminuye antes de los 40 años y la menstruación se detiene.
Problemas estructurales
Los problemas en los órganos sexuales también pueden provocar amenorrea. Por ejemplo:
Cicatrices uterinas. El síndrome de Asherman, una afección por la que se forma tejido cicatricial en el revestimiento del útero, a veces puede presentarse luego de una dilatación y curetaje, una cesárea o un tratamiento por fibromas uterinos. Las cicatrices uterinas impiden que el revestimiento del útero se desarrolle y se desprenda con normalidad.
Ausencia de órganos reproductivos. A veces, surgen problemas durante el desarrollo del feto que llevan a que falte alguna parte importante del sistema reproductor, como el útero, el cuello del útero o la vagina. Debido a que el sistema reproductivo no se desarrolló por completo, los ciclos menstruales no serán posibles.
Anomalía estructural de la vagina. Una obstrucción de la vagina puede impedir que se manifieste el sangrado menstrual. La vagina puede tener una membrana o pared que bloquee el flujo de sangre desde el útero y el cuello uterino.
Video: Ovulación
Mostrar la transcripción
Para video Video: Ovulación
Factores de riesgo
Entre los factores que pueden aumentar el riesgo de padecer amenorrea, se encuentran los siguientes:
Antecedentes familiares. Si otras mujeres de tu familia han tenido amenorrea, puedes haber heredado una predisposición para el problema.
Trastornos alimentarios. Si tienes un trastorno alimentario, como anorexia o bulimia, el riesgo de que manifiestes amenorrea es más alto.
Entrenamiento atlético. Un entrenamiento deportivo riguroso puede aumentar el riesgo de padecer amenorrea.
Antecedentes de determinados procedimientos ginecológicos. Si has tenido una dilatación y curetaje, particularmente relacionada con el embarazo, o una intervención conocida como procedimiento de escisión electroquirúrgica con asa (LEEP), el riesgo de desarrollar amenorrea es mayor.
Complicaciones
Las causas de la amenorrea también pueden causar otros problemas. Algunos de ellos son los siguientes:
Infertilidad y problemas con el embarazo. Si no ovulas ni tienes períodos menstruales, no puedes quedar embarazada. Cuando la causa de la amenorrea es un desequilibrio hormonal, esto también puede provocar un aborto espontáneo u otros problemas con el embarazo.
Estrés psicológico. No tener períodos cuando tus amigas los tienen puede ser estresante, en especial para las personas jóvenes en transición a la adultez.
Osteoporosis y enfermedad cardiovascular. La causa de ambos problemas puede ser no tener suficiente estrógeno. La osteoporosis es el debilitamiento de los huesos. La enfermedad cardiovascular incluye ataques cardíacos y problemas con los vasos sanguíneos y el músculo del corazón.
Dolor pélvico. Si la causa de la amenorrea es un problema anatómico, también puede provocar dolor en la zona pélvica.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Amigdalitis,
Amigdalitis estreptocócica,
Amiloidosis,"Púrpura alrededor de los ojos
Agrandar la imagen
Lengua más grande
Agrandar la imagen
Es posible que no tengas síntomas de amiloidosis hasta más adelante en el curso de la enfermedad. Los síntomas pueden variar dependiendo de los órganos afectados.
Los signos y síntomas de la amiloidosis pueden comprender:
Fatiga y debilidad intensas
Falta de aire
Entumecimiento, hormigueo o dolor en las manos o los pies
Hinchazón de los tobillos y las piernas
Diarrea, posiblemente con sangre, o estreñimiento
Lengua agrandada que, en ocasiones, puede presentar ondulaciones en los bordes
Cambios en la piel, como engrosamiento o moretones que aparecen con facilidad, y manchas purpúreas alrededor de los ojos
Cuándo debes consultar a un médico
Consulta con tu médico si habitualmente tienes alguno de los signos o síntomas asociados a la amiloidosis.
Solicite una consulta

Causas
Hay muchos tipos diferentes de amiloidosis. Muchos de ellos son hereditarios. Otros se deben a factores externos, como enfermedades inflamatorias o diálisis a largo plazo. Muchos tipos afectan a varios órganos, mientras que otros solo lo hacen en una parte del cuerpo.
Los tipos de amiloidosis incluyen los siguientes:
Amiloidosis AL (amiloidosis de cadenas ligeras de inmunoglobulina). Es el tipo más común de amiloidosis en los países desarrollados. La amiloidosis AL también recibe el nombre de ""amiloidosis primaria"". Suele afectar el corazón, los riñones, el hígado y los nervios.
Amiloidosis AA. Este tipo también se conoce como amiloidosis secundaria y suele desencadenarse por una enfermedad inflamatoria, como la artritis reumatoide. Afecta más comúnmente a los riñones, el hígado y el bazo.
Amiloidosis hereditaria (amiloidosis familiar). Este trastorno hereditario suele afectar a los nervios, el corazón y los riñones. Ocurre más comúnmente cuando una proteína que produce el hígado es anormal. Esta proteína se llama transtiretina.
Amiloidosis de tipo salvaje. Esta variedad también recibe el nombre de ""amiloidosis sistémica senil"" y se produce cuando la proteína transtiretina que produce el hígado es normal, pero fabrica amiloide por razones desconocidas. La amiloidosis de tipo salvaje suele afectar a hombres de más de 70 años y comprometer al corazón. También puede provocar síndrome del túnel carpiano.
Amiloidosis localizada. Este tipo de amiloidosis suele tener un mejor pronóstico que las variedades que afectan a múltiples sistemas de órganos. Los lugares típicos donde aparece la amiloidosis localizada son la vejiga, la piel, la garganta o los pulmones. El diagnóstico correcto es importante para poder evitar tratamientos que afecten a todo el cuerpo.
Factores de riesgo
Los factores que aumentan el riesgo de tener amiloidosis incluyen lo siguiente:
Edad. La mayoría de las personas a las que se les diagnostica amiloidosis tienen entre 60 y 70 años de edad.
Sexo. La amiloidosis es más común en los hombres.
Otras enfermedades. Tener una enfermedad infecciosa o inflamatoria crónica aumenta el riesgo de presentar amiloidosis AA.
Antecedentes familiares. Algunos tipos de amiloidosis son hereditarios.
Diálisis renal. La diálisis no siempre puede eliminar las proteínas grandes de la sangre. Si te estás haciendo diálisis, pueden acumularse proteínas anormales en tu sangre y, con el tiempo, depositarse en el tejido. Esta afección es menos común con las técnicas de diálisis más modernas.
Raza. Al parecer, las personas de ascendencia africana corren un mayor riesgo de ser portadoras de una mutación genética asociada a un tipo de amiloidosis que puede dañar el corazón.
Complicaciones
La amiloidosis puede dañar de gravedad:
El corazón. Los depósitos de amiloide reducen la capacidad del corazón de llenarse de sangre entre latidos cardíacos. Se bombea menos sangre con cada latido y esto puede provocar falta de aire. Si la amiloidosis afecta el sistema eléctrico del corazón, puede causar problemas en el ritmo cardíaco. Los problemas cardíacos relacionados con el amiloide pueden poner en riesgo la vida.
Los riñones. Los depósitos de amiloide pueden dañar el sistema de filtración de los riñones. Esto afecta su capacidad para eliminar desechos del cuerpo y con el tiempo, puede causar insuficiencia renal.
El sistema nervioso. El daño a los nervios puede causar dolor, entumecimiento u hormigueo en los dedos de las manos y en los pies. Si el amiloide afecta los nervios que controlan la función del intestino, puede provocar períodos alternados de estreñimiento y diarrea. El daño a los nervios que controlan la presión arterial puede causar la sensación de desvanecimiento cuando la persona se para muy rápido.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Amnesia,"Las dos características principales de la amnesia son las siguientes:
Problemas para aprender información nueva.
Problemas para recordar eventos pasados e información que solía ser familiar.
La mayoría de las personas con amnesia tiene problemas con la memoria a corto plazo, por lo que no puede retener información nueva. Los recuerdos recientes tienden a perderse. Los recuerdos más lejanos o profundamente arraigados pueden preservarse.
Por ejemplo, las personas pueden recordar experiencias de la infancia o los nombres de expresidentes, pero es posible que no puedan nombrar al presidente actual, saber en qué mes están ni recordar qué comieron en el desayuno.
La pérdida de memoria aislada no afecta la inteligencia, los conocimientos generales, la conciencia ni la capacidad de atención de la persona. Tampoco afecta la capacidad de juicio, la personalidad ni la identidad. Las personas con amnesia, por lo general, pueden comprender las palabras orales y escritas, y pueden aprender habilidades como andar en bicicleta o tocar el piano. Es posible que comprendan que tienen un trastorno de la memoria.
La amnesia no es lo mismo que la demencia. La demencia suele incluir pérdida de la memoria, pero también involucra otros problemas en el pensamiento que llevan a un deterioro del funcionamiento diario. Estos incluyen problemas en el lenguaje, la capacidad de juicio y las habilidades visuales-espaciales.
La pérdida de la memoria también es un síntoma común de deterioro cognitivo leve. Este trastorno implica problemas de memoria y otros problemas cognitivos que no son tan graves como los que aparecen con la demencia.
Síntomas adicionales
Según la causa de la amnesia, otros síntomas pueden ser los siguientes:
Recuerdos falsos, ya sea completamente inventados o con recuerdos reales erróneamente situados en el tiempo.
Confusión o desorientación.
Cuándo debes consultar a un médico
Una persona que presenta pérdida de memoria, lesiones en la cabeza o confusión sin causa aparente requiere atención médica de inmediato.
Las personas que tienen amnesia pueden no saber dónde están ni ser capaces de buscar atención médica. Si alguien que conoces tiene síntomas de amnesia, ayúdalo a buscar atención médica.
Solicite una consulta

Causas
La función normal de la memoria abarca muchas partes del cerebro. Cualquier enfermedad o lesión que afecte el cerebro puede repercutir en la memoria.
La amnesia puede provocar daño en las estructuras cerebrales que forman el sistema límbico, el cual controla las emociones y los recuerdos. Entre ellas se incluye el tálamo, que se encuentra en el centro del cerebro. Además, incluyen las formaciones del hipocampo que se encuentran en los lóbulos temporales del cerebro.
La amnesia provocada por el daño o la lesión cerebral se conoce como amnesia neurológica. Las posibles causas de la amnesia neurológica incluyen las siguientes:
Accidente cerebrovascular.
Inflamación del cerebro, que puede deberse a una infección por un virus, como el del herpes simple. O bien, la inflamación puede producirse como resultado de una reacción autoinmunitaria al cáncer en alguna parte del cuerpo. También puede deberse a una reacción autoinmunitaria en ausencia del cáncer.
Oxígeno insuficiente en el cerebro. Esto puede suceder como resultado de un ataque cardíaco, problemas respiratorios o intoxicación por monóxido de carbono.
Abuso de alcohol durante un período prolongado, que lleva a una disminución en el cuerpo de vitamina B-1, conocida como tiamina. Cuando esto sucede, se denomina síndrome de Wernicke-Korsakoff.
Tumores en zonas del cerebro que controlan la memoria.
Enfermedad de Alzheimer y otras enfermedades que implican la degeneración del tejido nervioso.
Convulsiones.
Ciertos medicamentos, como benzodiacepinas u otros que actúan como sedantes.
Las lesiones en la cabeza que provocan una conmoción cerebral, ya sea a causa de un accidente automovilístico o de deportes, pueden derivar en confusión y problemas para recordar información nueva. Esto es común especialmente en las primeras etapas de recuperación. Las lesiones leves en la cabeza no suelen provocar amnesia persistente, pero las más graves pueden causar amnesia permanente.
Otro tipo inusual de amnesia, denominada amnesia disociativa, proviene de un trauma o choque emocional. Puede ocurrir al ser víctima de un crimen violento o sufrir otro tipo de trauma. En este trastorno, las personas pueden olvidar recuerdos personales e información sobre sus vidas. La pérdida de memoria suele ser breve.
Factores de riesgo
Las probabilidades de tener amnesia podrían aumentar si tuviste lo siguiente:
Cirugía cerebral, lesiones en la cabeza o traumatismos.
Accidente cerebrovascular.
Consumo excesivo de alcohol.
Convulsiones.
Complicaciones
La amnesia varía en su alcance y gravedad, pero incluso la amnesia leve afecta las actividades cotidianas y la calidad de vida. Este síndrome puede causar problemas en el trabajo, la escuela y los entornos sociales.
Es posible que no puedas recuperar los recuerdos perdidos. Algunas personas con problemas graves de memoria necesitan estar bajo supervisión o vivir en un centro de atención médica.
Prevención
El daño al cerebro puede ser una causa de la amnesia. Es importante tomar medidas para minimizar la posibilidad de sufrir una lesión cerebral. Por ejemplo:
No bebas grandes cantidades de alcohol.
Usa casco cuando andes en bicicleta o el cinturón de seguridad cuando manejes.
Trata las infecciones con rapidez para que no tengan posibilidad de propagarse hacia el cerebro.
Busca tratamiento médico inmediato si tienes síntomas que indiquen un accidente cerebrovascular o un aneurisma cerebral. Algunos de estos síntomas son dolor de cabeza intenso, entumecimiento en un lado del cuerpo o imposibilidad de mover un lado del cuerpo.



Escrito por el personal de Mayo Clinic
"
Amnesia global transitoria,
Anafilaxia,
